sample_ID1	sample_ID2	Total_cM	Segment_Count
NA18484	NA18485	9.002	2
NA18484	NA18486	593.87	160
NA18484	NA18487	4.027	1
NA18484	NA18497	7.663	1
NA18484	NA18498	3.772	1
NA18484	NA18499	3.174	1
NA18484	NA18500	6.209	1
NA18484	NA18501	3.614	1
NA18484	NA18502	5.349	1
NA18484	NA18504	6.212	1
NA18484	NA18505	4.359	1
NA18484	NA18506	15.514	3
NA18484	NA18507	2.52	1
NA18484	NA18511	10.016	2
NA18484	NA18515	14.99	2
NA18484	NA18516	5.557	1
NA18484	NA18517	12.16	2
NA18484	NA18518	10.575	2
NA18484	NA18520	4.025	1
NA18484	NA18521	14.976	2
NA18484	NA18522	8.723	2
NA18484	NA18853	3.788	1
NA18484	NA18854	8.983	2
NA18484	NA18855	4.245	2
NA18484	NA18856	3.034	1
NA18484	NA18857	4.025	1
NA18484	NA18858	3.372	1
NA18484	NA18859	4.026	1
NA18484	NA18861	3.176	1
NA18484	NA18862	2.038	1
NA18484	NA18863	12.599	3
NA18484	NA18865	4.025	1
NA18484	NA18867	10.083	3
NA18484	NA18868	9.222	3
NA18484	NA18869	13.484	3
NA18484	NA18870	6.095	2
NA18484	NA18871	3.788	1
NA18484	NA18872	7.9	2
NA18484	NA18873	4.026	1
NA18484	NA18874	8.335	3
NA18484	NA18875	10.236	2
NA18484	NA18876	11.43	2
NA18484	NA18877	4.026	1
NA18484	NA18878	8.511	2
NA18484	NA18879	4.028	1
NA18484	NA18881	7.806	2
NA18484	NA18906	11.421	2
NA18484	NA18907	4.958	1
NA18484	NA18908	5.826	2
NA18484	NA18909	4.975	1
NA18484	NA18911	9.574	2
NA18484	NA18913	6.071	2
NA18484	NA18914	7.768	2
NA18484	NA18916	9.722	3
NA18484	NA18917	9.002	2
NA18484	NA18923	6.47	2
NA18484	NA18924	8.284	2
NA18484	NA18925	9.07	2
NA18484	NA18930	6.884	2
NA18484	NA18933	11.397	2
NA18484	NA18934	4.983	1
NA18484	NA18935	9.328	1
NA18484	NA19093	5.383	1
NA18484	NA19094	9.408	2
NA18484	NA19095	14.974	2
NA18484	NA19096	3.85	1
NA18484	NA19097	11.689	2
NA18484	NA19098	4.363	1
NA18484	NA19100	11.424	2
NA18484	NA19101	6.208	1
NA18484	NA19102	2.07	1
NA18484	NA19103	8.99	2
NA18484	NA19107	7.877	2
NA18484	NA19108	8.222	2
NA18484	NA19109	10.501	2
NA18484	NA19113	11.822	2
NA18484	NA19114	6.473	1
NA18484	NA19115	12.16	2
